,0,1
0,-8.979167,-38.219444
1,-8.217906903656875,-40.57059938900408
2,-8.63358881872434,-39.79262166155535
3,-7.865902780629284,-35.589626310945434
4,-8.970572095616767,-38.412215343791665
5,-8.468880096483105,-39.199183920378296
6,-7.978188025215484,-38.31448263564841
7,-7.701518968695174,-37.8203061113183
8,-7.495424534089829,-39.76417394225579
9,-9.080202861425962,-38.06371427354114
10,-9.18420800000002,-38.26726799117194
11,-9.232226529004924,-40.27328908294251
12,-8.077200161304079,-37.63286513159779
13,-8.465074623964314,-36.775183654282486
14,-8.441697240907224,-40.788703082566634
15,-8.798897919790292,-36.61667432187067
16,-7.883709313177132,-38.77027117820547
17,-8.242423474935887,-35.463651833421814
