,0,1
0,-8.60528664901,-40.8603248468
1,-7.87728870824,-35.2677078961
2,-8.62625535139,-39.6135307308
3,-7.55309742634,-35.2649400635
4,-7.94602618087,-34.9282067667
5,-8.10117281061,-38.8660768601
6,-8.62720330529,-35.9451543715
7,-8.70672390567,-35.1564656792
8,-9.0097963106,-36.6343566754
9,-8.30068663825,-36.4062890505
10,-8.24327711872,-40.4276949504
11,-8.79544976041,-36.3510748029
12,-7.44394417738,-37.3010350712
13,-7.74505933689,-40.1654192558
14,-9.03366281076,-38.2263121257
15,-7.88708960626,-35.8707143871
16,-8.5003734905,-36.9183927981
17,-8.25208729188,-35.4799471395
18,-8.88745593971,-37.5166172121
19,-8.63785024768,-35.6023630413
20,-7.68775490117,-39.5433687658
21,-7.74367491872,-37.610564477
22,-7.90119645201,-38.1198295378
