,0,1
0,-9.03740053178,-38.2297410699
1,-9.01410002918,-36.6566412497
2,-7.8303261498,-35.6094792321
3,-7.76570754669,-40.1909253083
4,-7.69031321176,-39.5710774625
5,-7.95137954203,-34.9251224052
6,-7.92442526597,-35.9743385841
7,-8.3523840817,-35.6789666991
8,-8.65052732337,-35.9335466455
9,-8.90928870538,-36.3196014571
10,-8.9011428476,-37.5326994176
11,-8.48835156561,-40.7811793445
12,-7.54436273267,-35.2327998561
13,-7.90364763943,-35.2492077516
14,-7.55659715179,-37.4230829357
15,-8.20704472385,-37.9847035628
16,-8.64190723028,-35.5492398754
17,-8.0809365332,-38.9646784648
18,-7.86287521054,-38.0736737472
19,-8.6991221213,-35.1529101564
20,-8.29189995923,-36.4688707176
21,-8.76122525608,-39.8136586009
22,-8.69047672348,-36.4117008691
23,-8.49816910422,-36.9571901521
