,0,1
0,-8.64140711167,-36.3723241483
1,-7.57278459,-35.2456120429
2,-7.86380416667,-34.8749575744
3,-7.71405825429,-37.6334936986
4,-8.00318629667,-38.92667974
5,-8.96043155556,-36.6046369009
6,-8.6492445,-35.507829
7,-7.4354198,-37.3084851556
8,-7.91526642364,-35.2444009998
9,-7.89951871429,-35.9916381746
10,-7.84416060444,-35.6297116415
11,-8.515617,-36.9620954
12,-8.8894389725,-37.5549994992
13,-8.14874139714,-35.0098266027
14,-8.7452832,-35.1440814
15,-8.231681,-37.5321729259
16,-8.33891045667,-35.7976494933
17,-7.94621798167,-38.1130592037
18,-8.544277,-39.4162502
19,-8.25420142857,-36.5182495714
20,-8.9181344,-38.3267943556
21,-8.64294524,-40.5863135733
22,-8.326125625,-35.4197865278
23,-8.62889198778,-36.0379079749
24,-8.954037,-36.3012602
25,-9.0761955,-36.9857250555
26,-8.714017,-35.7544206447
27,-7.7269659,-39.8883496999
