,0,1
0,-8.96721959267,-36.5949874073
1,-7.91260652941,-35.8079275621
2,-7.62211252429,-35.124056794
3,-8.257853411,-35.2952610331
4,-7.72495545632,-37.6609684153
5,-7.570479555,-35.366114555
6,-8.36810145455,-36.7397980909
7,-8.14784798167,-39.1498079533
8,-7.678387125,-39.9877663749
9,-8.81110289909,-37.9588477775
10,-8.66665149143,-40.4775544914
11,-8.690634375,-35.2502390833
12,-7.942386667,-34.9129134557
13,-8.64043782267,-36.2012393183
14,-7.90595129556,-35.2542775553
15,-8.54937502588,-35.7539494704
