centoides final : [162, 13, 139, 138, 137, 54, 181, 76, 21, 52, 150, 56, 134, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 100, 143, 134, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 100, 143, 134, 1, 36]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 92, 143, 134, 1, 155]
centoides final : [45, 122, 139, 138, 42, 54, 172, 81, 21, 52, 92, 143, 134, 1, 155]
centoides final : [111, 13, 139, 117, 137, 54, 181, 81, 21, 52, 92, 56, 134, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 100, 56, 160, 1, 36]
centoides final : [45, 122, 139, 138, 17, 98, 181, 81, 21, 133, 92, 143, 134, 1, 155]
centoides final : [111, 122, 139, 138, 153, 54, 172, 81, 21, 133, 92, 143, 134, 1, 36]
centoides final : [45, 122, 139, 117, 42, 54, 172, 81, 21, 52, 93, 143, 134, 1, 155]
centoides final : [45, 122, 139, 138, 62, 54, 172, 81, 21, 133, 100, 143, 134, 1, 155]
centoides final : [162, 13, 139, 138, 137, 54, 181, 81, 21, 133, 100, 56, 134, 1, 155]
centoides final : [45, 122, 139, 117, 178, 54, 172, 81, 21, 133, 92, 143, 134, 1, 36]
centoides final : [45, 122, 139, 117, 153, 54, 172, 71, 21, 52, 92, 143, 134, 1, 155]
centoides final : [45, 122, 139, 138, 153, 54, 172, 81, 21, 133, 92, 143, 134, 1, 36]
centoides final : [45, 122, 139, 117, 178, 54, 172, 81, 21, 133, 100, 143, 134, 1, 36]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 92, 143, 134, 1, 36]
centoides final : [23, 122, 139, 117, 153, 54, 172, 81, 21, 52, 100, 56, 134, 1, 155]
centoides final : [45, 122, 139, 138, 153, 54, 172, 81, 21, 52, 92, 143, 160, 1, 36]
centoides final : [45, 122, 139, 117, 178, 54, 172, 81, 21, 52, 92, 143, 134, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 71, 21, 133, 92, 56, 134, 1, 108]
centoides final : [45, 122, 139, 117, 17, 54, 172, 81, 21, 133, 100, 143, 134, 1, 155]
centoides final : [23, 122, 139, 117, 17, 54, 172, 81, 21, 52, 92, 143, 78, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 93, 143, 160, 1, 36]
centoides final : [45, 122, 139, 138, 153, 54, 172, 81, 21, 133, 92, 143, 134, 1, 36]
centoides final : [45, 122, 139, 138, 42, 54, 172, 81, 21, 133, 100, 56, 160, 1, 36]
centoides final : [45, 122, 139, 117, 17, 54, 172, 81, 21, 52, 100, 143, 134, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 92, 143, 134, 1, 36]
centoides final : [45, 122, 139, 138, 153, 54, 172, 81, 21, 133, 93, 143, 78, 1, 36]
centoides final : [45, 122, 139, 117, 17, 54, 172, 81, 21, 133, 92, 143, 134, 1, 155]
centoides final : [45, 122, 139, 138, 17, 94, 172, 81, 21, 133, 100, 143, 134, 1, 155]
centoides final : [111, 122, 139, 117, 137, 54, 172, 81, 21, 52, 92, 143, 134, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 100, 143, 134, 1, 36]
centoides final : [162, 13, 139, 138, 137, 54, 28, 81, 21, 133, 100, 143, 134, 1, 36]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 100, 143, 134, 1, 155]
centoides final : [45, 122, 139, 117, 106, 54, 172, 81, 21, 133, 100, 56, 160, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 92, 56, 134, 1, 155]
centoides final : [45, 122, 139, 117, 106, 54, 172, 81, 21, 133, 100, 56, 134, 1, 155]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 93, 143, 134, 1, 36]
centoides final : [45, 122, 139, 138, 153, 54, 172, 71, 21, 133, 92, 56, 134, 1, 36]
centoides final : [45, 122, 139, 138, 153, 54, 172, 71, 21, 133, 100, 143, 134, 1, 36]
centoides final : [45, 122, 139, 117, 153, 54, 172, 81, 21, 133, 92, 56, 134, 1, 155]
